Recoil Down,1,Rapid Morph,1,1,1,0
Rapid Morph,2,Resuscitate,1,3,0,0
Thunder Attack,1,Defense Boost,1,0,1,0
Flinch Free,2,Normal/Rapid Up,1,2,0,0
Fortify,1,Constitution,2,1,0,1
Thunder Attack,1,Earplugs,1,0,2,0
Evade Window,2,Poison Attack,2,1,1,0
Poison Attack,1,Horn Maestro,1,1,0,0
Speed Eating,1,Critical Eye,1,2,0,0
Water Attack,1,Blast Attack,1,2,0,0
Agitator,2,Partbreaker,1,1,0,0
Heroics,1,None,0,1,0,0
Hunger Resistance,1,Paralysis Attack,1,0,0,0
Horn Maestro,1,Rapid Morph,2,0,0,0
Attack Boost,1,None,0,1,0,0
Reload Speed,1,Divine Blessing,1,2,0,0
Geologist,1,Fire Attack,1,0,2,0
Recovery Up,2,Affinity Sliding,1,1,0,1
Stamina Thief,1,Sleep Resistance,2,0,0,1
Bludgeoner,1,Maximum Might,1,1,0,0
Bombardier,2,Resuscitate,1,1,0,0
Thunder Attack,1,Water Resistance,1,1,0,1
Diversion,1,Item Prolonger,2,1,0,1
Rapid Morph,1,Horn Maestro,1,1,1,0
Heroics,1,None,0,2,0,0
Recoil Down,2,Defense Boost,2,1,0,0
Razor Sharp,1,Master's Touch,1,0,0,0
Resuscitate,2,None,0,0,0,1
Master Mounter,1,Poison Attack,2,1,0,0
Maximum Might,2,None,0,1,0,0
Bombardier,1,Affinity Sliding,1,0,0,1
Rapid Morph,2,Water Attack,2,0,2,0
Stun Resistance,3,Attack Boost,1,1,0,0
Speed Sharpening,1,Slugger,2,1,1,0
Guard Up,1,Power Prolonger,1,1,0,0
Earplugs,1,Constitution,2,2,0,0
Stamina Surge,2,Steadiness,2,0,0,0
Fortify,1,Resuscitate,1,0,0,0
Protective Polish,1,None,0,1,0,0
Partbreaker,1,Evade Extender,1,2,0,0
Wide-Range,2,Slugger,1,1,0,0
Fire Attack,1,Bludgeoner,1,1,0,0
Flinch Free,1,Punishing Draw,2,0,0,1
Reload Speed,1,Marathon Runner,1,0,1,0
Hellfire Cloak,1,None,0,2,0,0
Spare Shot,1,Recovery Speed,1,0,0,0
Earplugs,1,Windproof,1,0,0,0
Wirebug Whisperer,1,Rapid Morph,1,1,1,0
Punishing Draw,1,Wide-Range,2,2,0,0
Latent Power,2,None,0,0,0,0
Bludgeoner,3,Quick Sheath,1,0,0,1
Counterstrike,1,Botanist,3,1,1,0
Water Attack,1,Diversion,1,0,1,0
Dragon Attack,2,Leap of Faith,1,1,0,1
Carving Pro,1,Water Resistance,1,1,0,0
Jump Master,1,None,0,1,0,0
Muck Resistance,1,Steadiness,1,1,0,0
Steadiness,1,Muck Resistance,1,0,1,0
Wall Runner,2,Punishing Draw,2,0,0,0
Resuscitate,1,None,0,0,0,0
Ice Attack,2,Paralysis Attack,1,0,0,0
Fire Attack,3,Partbreaker,1,2,0,0
Slugger,2,Stamina Surge,1,1,0,0
Punishing Draw,2,Evade Extender,1,1,1,0
Load Shells,1,None,0,2,0,0
Earplugs,1,Fire Attack,1,1,0,0
Guard,2,None,0,0,0,0
Ice Resistance,1,Evade Window,1,1,0,0
Hunger Resistance,1,Recoil Down,2,1,0,0
Flinch Free,1,Bludgeoner,1,2,0,0
Water Attack,1,Thunder Resistance,2,0,0,0
Counterstrike,1,Mushroomancer,1,0,0,0
Fire Attack,3,Defense Boost,1,0,1,0
Recoil Down,1,Peak Performance,1,1,1,0
Load Shells,1,None,0,0,0,0
Defense Boost,1,Speed Sharpening,1,1,0,0
Divine Blessing,1,Recovery Up,1,2,0,0
Sleep Resistance,1,Reload Speed,1,0,0,0
Poison Resistance,1,Defense Boost,1,1,1,0
Attack Boost,2,Recoil Down,1,1,0,0
Carving Pro,1,Recoil Down,1,0,1,0
Tremor Resistance,1,Constitution,2,2,0,0
Protective Polish,1,None,0,0,0,0
Fire Attack,1,Blight Resistance,2,2,0,0
Leap of Faith,1,Ice Attack,1,1,0,0
Muck Resistance,1,Evade Extender,2,1,0,0
Stun Resistance,2,Bludgeoner,1,0,0,0
Recoil Down,1,Blast Resistance,2,2,0,0
Speed Sharpening,1,Protective Polish,1,0,0,0
Bludgeoner,1,Speed Eating,1,1,0,0
Evade Extender,1,Reload Speed,2,1,0,0
Flinch Free,2,Agitator,1,1,0,0
Tremor Resistance,1,Wide-Range,2,0,0,0
Wide-Range,1,Geologist,2,0,1,0
Carving Pro,1,Maximum Might,1,1,0,0
Offensive Guard,1,None,0,3,0,0
Ice Attack,1,Diversion,1,0,0,0
Ice Resistance,1,Blast Attack,1,2,0,0
Carving Pro,1,Tremor Resistance,2,3,0,0
Steadiness,1,Thunder Resistance,1,0,1,0
Diversion,1,Speed Eating,1,1,1,0
Dragon Attack,1,Rapid Morph,2,2,0,0
Protective Polish,1,Speed Sharpening,1,0,0,0
Poison Resistance,1,Water Attack,1,0,0,0
Leap of Faith,1,Water Resistance,2,2,0,0
Guard Up,1,None,0,1,0,0
Wide-Range,2,Critical Eye,1,1,0,0
Poison Attack,1,Speed Sharpening,2,1,0,0
Flinch Free,2,Muck Resistance,1,0,0,0
Recovery Up,1,Bludgeoner,1,1,1,0
Tremor Resistance,2,Bludgeoner,2,0,0,0
Power Prolonger,1,Speed Eating,1,0,0,0
Dragon Attack,2,Handicraft,1,0,0,0
Earplugs,1,Thunder Attack,1,1,0,0
Recovery Speed,1,Defense Boost,1,1,1,0
Bubbly Dance,1,Flinch Free,1,0,0,0
Evade Window,1,Master Mounter,1,1,1,0
Hunger Resistance,1,Blast Resistance,2,0,0,1
Blast Resistance,1,Earplugs,1,3,0,0
Blast Resistance,1,Affinity Sliding,1,0,1,0
Evade Window,1,Affinity Sliding,1,0,0,0
Fire Attack,2,Paralysis Resistance,2,0,0,0
Quick Sheath,1,Recovery Speed,1,0,1,0
Special Ammo Boost,2,Steadiness,2,3,0,0
Recoil Down,2,Bubbly Dance,1,3,0,0
Blight Resistance,1,Bludgeoner,1,2,0,0
Recoil Down,1,Steadiness,2,0,0,0
Slugger,2,Spread Up,1,0,0,0
Poison Attack,1,Thunder Attack,1,0,0,0
Hunger Resistance,1,Speed Eating,1,1,0,0
Item Prolonger,1,Speed Eating,1,0,2,0
Stamina Thief,1,Item Prolonger,3,2,0,0
Blast Attack,2,Speed Eating,2,0,0,0
Ice Attack,3,Muck Resistance,2,2,0,0
Dragon Resistance,1,Thunder Resistance,1,2,0,0
Critical Eye,1,Dragon Attack,1,0,0,0
Affinity Sliding,1,Blight Resistance,2,2,0,0
Reload Speed,2,Critical Eye,1,0,1,0
Fire Attack,1,Bombardier,2,1,0,0
Spare Shot,1,None,0,0,0,0
Agitator,2,Stun Resistance,1,2,0,0
Defense Boost,1,Fire Resistance,2,0,0,0
Guard Up,1,None,0,0,0,0
Divine Blessing,2,Reload Speed,2,2,0,0
Wirebug Whisperer,1,Botanist,3,0,0,1
Steadiness,2,Water Attack,1,1,0,0
Paralysis Resistance,1,Critical Eye,1,0,0,0
Quick Sheath,2,Paralysis Resistance,2,0,1,0
Recovery Speed,2,Dragon Resistance,2,1,0,0
Master Mounter,1,Bombardier,1,1,0,0
Tremor Resistance,1,Dragon Resistance,1,0,1,0
Quick Sheath,2,Water Attack,1,2,0,0
Hellfire Cloak,2,Dragon Attack,1,0,0,0
Bombardier,2,Counterstrike,1,0,1,0
Steadiness,2,Ice Resistance,2,3,0,0
Power Prolonger,1,None,0,0,0,0
Stamina Surge,2,Geologist,2,0,0,0
Dragon Attack,3,Evade Extender,2,1,1,0
Hunger Resistance,1,Reload Speed,1,1,1,0
Poison Attack,1,Speed Eating,1,0,1,0
Bubbly Dance,1,Master Mounter,1,1,0,0
Diversion,1,Bubbly Dance,1,2,0,0
Quick Sheath,2,Razor Sharp,1,1,0,0
Paralysis Resistance,1,Master Mounter,1,0,1,0
Wide-Range,2,Muck Resistance,2,1,1,0
Hunger Resistance,1,Affinity Sliding,1,1,0,0
Fire Attack,2,Slugger,1,1,1,0
Windproof,1,Blast Attack,1,0,0,0
Poison Attack,3,Water Attack,1,1,0,0
Constitution,2,Critical Eye,1,1,0,0
Bubbly Dance,2,Defense Boost,1,0,0,0
Punishing Draw,2,Reload Speed,1,0,0,1
Water Attack,1,Load Shells,1,0,0,0
Slugger,1,Carving Pro,1,0,0,0
Reload Speed,1,Critical Element,1,0,0,0
Critical Element,1,None,0,1,0,0
Attack Boost,1,None,0,3,0,0
Stamina Thief,1,Latent Power,1,2,0,0
Muck Resistance,2,Fire Resistance,2,0,1,0
Quick Sheath,2,Affinity Sliding,1,2,0,0
Rapid Morph,1,Ice Attack,2,0,1,0
Evade Window,2,Counterstrike,1,0,0,0
Water Resistance,1,Speed Sharpening,1,1,1,0
Heroics,1,Steadiness,1,1,0,0
Tremor Resistance,3,Blight Resistance,2,0,1,0
Stun Resistance,1,Fire Attack,2,0,2,0
Quick Sheath,1,Leap of Faith,1,0,0,0
Evade Extender,2,Divine Blessing,1,0,0,0
Guard Up,1,None,0,0,0,0
Earplugs,1,Diversion,1,1,0,1
Ice Resistance,1,Defense Boost,1,0,1,1
Slugger,1,Recovery Up,1,0,0,0
Dragon Resistance,1,Fortify,1,0,1,0
Leap of Faith,1,Guard,1,0,0,0
Recoil Down,1,Evade Window,1,0,1,0
Recoil Down,1,Wirebug Whisperer,1,0,0,0
Weakness Exploit,2,None,0,0,0,0
Dragon Attack,1,Speed Eating,1,0,0,0
Earplugs,1,Rapid Morph,1,0,1,0
Ice Resistance,1,Stun Resistance,1,2,0,0
Paralysis Resistance,1,Critical Draw,1,0,1,0
Attack Boost,3,None,0,1,0,0
Speed Eating,2,Leap of Faith,1,1,0,0
Bludgeoner,2,Sleep Resistance,1,1,1,0
Normal/Rapid Up,1,None,0,0,0,0
Stamina Surge,2,Punishing Draw,1,2,0,0
Divine Blessing,1,Water Resistance,2,1,0,0
Resuscitate,1,None,0,2,0,0
Affinity Sliding,1,Stamina Thief,2,1,1,0
Windproof,2,Partbreaker,2,2,0,0
Stun Resistance,1,Critical Element,1,1,0,0
Tremor Resistance,2,Wide-Range,1,1,0,0
Sleep Attack,2,None,0,2,0,0
Dragon Attack,1,Stun Resistance,1,0,0,0
Recoil Down,2,Wide-Range,2,0,0,0
Windproof,2,Evade Extender,1,1,1,0
Partbreaker,1,Slugger,2,2,0,0
Normal/Rapid Up,2,None,0,2,0,0
Constitution,2,Guard Up,1,2,0,0
Critical Eye,1,Thunder Attack,2,0,0,0
Botanist,2,Free Meal,2,0,0,1
Peak Performance,1,None,0,1,0,0
Evade Window,2,Fortify,1,1,0,0
Paralysis Resistance,1,Flinch Free,1,0,0,0
Earplugs,1,Botanist,2,2,0,1
Paralysis Attack,1,None,0,0,0,0
Recoil Down,1,Stamina Thief,2,1,0,0
Steadiness,2,Divine Blessing,1,3,0,0
Carving Pro,1,Fortify,1,1,0,1
Stamina Thief,2,Thunder Attack,1,1,0,0
Resuscitate,1,None,0,1,0,0
Fire Attack,1,Artillery,1,1,0,0
Poison Attack,2,Water Attack,1,1,0,0
Thunder Resistance,1,Divine Blessing,1,1,0,0
Speed Sharpening,2,Partbreaker,1,0,0,0
Free Meal,1,Paralysis Resistance,1,2,0,0
Fire Attack,2,Sleep Attack,1,1,0,0
Master Mounter,1,Wide-Range,2,1,0,0
Recovery Speed,2,Speed Sharpening,2,0,1,0
Paralysis Resistance,1,Rapid Morph,1,0,0,0
Steadiness,2,Dragon Attack,2,0,0,0
Water Resistance,2,Fire Resistance,1,1,1,0
Windproof,2,Dragon Resistance,1,0,0,0
Reload Speed,2,Poison Resistance,2,1,0,0
Ballistics,1,None,0,2,0,0
Fire Attack,1,Resuscitate,1,1,0,0
Affinity Sliding,1,Item Prolonger,1,1,0,0
Recoil Down,2,Quick Sheath,1,2,0,0
Flinch Free,2,Reload Speed,1,2,1,0
Counterstrike,1,Evade Window,1,0,0,0
Resuscitate,1,None,0,0,0,0
Carving Pro,1,Poison Resistance,2,1,0,0
Critical Boost,1,Dragon Attack,2,0,0,0
Peak Performance,1,Punishing Draw,2,2,0,0
Hellfire Cloak,2,None,0,1,0,1
Carving Pro,1,Critical Eye,1,0,0,0
Windproof,1,Protective Polish,1,1,0,0
Free Meal,1,Fire Resistance,2,2,0,0
Paralysis Resistance,1,Wide-Range,1,1,1,1
Punishing Draw,1,Speed Eating,1,1,0,0
Sleep Resistance,2,Dragon Attack,1,2,0,0
Recoil Down,2,Bludgeoner,1,2,0,0
Stun Resistance,2,Fire Attack,1,0,0,0
Free Meal,2,Agitator,1,1,0,0
Dragon Attack,3,Wall Runner,2,1,0,0
Steadiness,2,Poison Attack,1,0,2,0
Quick Sheath,2,Stamina Thief,1,0,0,0
Sleep Resistance,2,Mushroomancer,1,0,0,0
Evade Extender,2,Wide-Range,1,0,0,1
Fortify,1,Free Meal,1,0,0,1
Fortify,1,Special Ammo Boost,1,0,0,0
Divine Blessing,2,Thunder Attack,1,1,0,0
Blast Resistance,2,Carving Pro,1,0,1,0
Thunder Attack,1,Wall Runner,1,1,0,0
Stamina Thief,2,Paralysis Attack,1,0,0,0
Counterstrike,1,Windproof,1,1,0,1
Stun Resistance,2,Ice Resistance,1,2,0,0
Dragon Attack,2,Special Ammo Boost,1,1,0,0
Defense Boost,2,Reload Speed,1,0,0,0
Divine Blessing,1,Poison Attack,1,1,0,0
Windproof,2,Flinch Free,1,0,0,0
Reload Speed,1,Recovery Up,2,1,0,0
Stamina Thief,1,Item Prolonger,1,2,0,0
Attack Boost,2,Master Mounter,1,1,0,0
Partbreaker,2,Poison Resistance,2,3,0,0
Reload Speed,2,Master's Touch,1,1,0,0
Flinch Free,2,Defense Boost,1,0,0,0
Wide-Range,1,Stamina Thief,1,1,0,0
Slugger,1,Bludgeoner,1,1,0,0
Recovery Speed,2,Ice Resistance,1,0,0,1
Affinity Sliding,1,Bludgeoner,1,1,0,0
Speed Eating,2,Evade Window,1,1,1,0
Critical Draw,1,None,0,2,0,0
Recovery Speed,1,Divine Blessing,2,1,1,0
Stun Resistance,1,Blight Resistance,1,2,1,0
Ice Attack,2,Stun Resistance,1,1,0,0
Poison Attack,1,Speed Sharpening,1,1,1,0
Botanist,1,Reload Speed,1,1,0,0
Master Mounter,1,Evade Window,1,0,1,0
Evade Window,1,Earplugs,2,0,0,0
Diversion,1,Leap of Faith,1,0,1,0
Leap of Faith,1,Evade Extender,1,0,0,0
Evade Extender,1,Poison Attack,2,0,0,0
Paralysis Attack,1,Recovery Speed,1,0,0,0
Bubbly Dance,1,Guard,1,0,0,0
Diversion,1,Maximum Might,1,0,0,1
Muck Resistance,1,Water Resistance,2,2,0,0
Poison Attack,1,Windproof,2,2,1,0
Wide-Range,1,Bludgeoner,1,2,0,1
Divine Blessing,1,Wide-Range,1,2,0,0
Water Resistance,1,Hunger Resistance,2,0,1,0
Flinch Free,2,Poison Resistance,2,2,0,0
Recoil Down,2,Water Resistance,2,2,0,0
Affinity Sliding,1,Stun Resistance,2,2,1,0
Bludgeoner,1,Latent Power,1,2,0,0
Sleep Attack,2,Speed Sharpening,1,1,0,0
Quick Sheath,2,Maximum Might,1,0,0,0
Master Mounter,1,Ice Resistance,1,3,0,0
Paralysis Attack,1,None,0,0,0,0
Steadiness,1,Resuscitate,1,0,0,0
Critical Draw,1,None,0,1,0,0
Dragon Attack,2,Blast Resistance,1,1,0,0
Paralysis Attack,2,Botanist,1,1,1,0
Sleep Resistance,1,Tremor Resistance,1,2,0,0
Punishing Draw,2,Reload Speed,1,1,0,0
Recovery Up,1,Razor Sharp,1,2,0,0
Evade Extender,2,Dragon Attack,1,0,0,0
Divine Blessing,2,Blight Resistance,2,2,0,0
Speed Eating,1,Agitator,1,0,0,0
Stun Resistance,1,Evade Window,2,1,1,0
Power Prolonger,2,None,0,0,0,0
Water Resistance,1,Steadiness,1,0,0,0
Tremor Resistance,1,Windproof,1,0,0,0
Bubbly Dance,2,Wirebug Whisperer,2,2,0,0
Item Prolonger,2,Peak Performance,1,0,0,0
Poison Attack,1,Defense Boost,1,1,1,0
Speed Sharpening,2,Windproof,2,2,0,0
Bombardier,2,Fire Attack,1,0,1,0
Defense Boost,3,Diversion,1,0,0,1
Latent Power,1,Blight Resistance,1,0,0,0
Defense Boost,1,Partbreaker,1,2,0,0
Ice Attack,1,Divine Blessing,2,1,0,0
Hunger Resistance,2,Reload Speed,1,0,0,0
Slugger,2,Fortify,1,0,1,0
Rapid Morph,2,Affinity Sliding,1,0,0,0
Quick Sheath,1,Recoil Down,1,0,0,0
Item Prolonger,1,Razor Sharp,1,0,0,0
Defense Boost,1,Thunder Attack,2,2,0,0
Marathon Runner,1,None,0,0,1,0
Ice Attack,2,Horn Maestro,1,3,0,0
Carving Pro,1,Geologist,1,0,1,1
Recovery Speed,1,Guard,1,0,0,0
Slugger,1,Razor Sharp,1,0,0,0
Recovery Speed,1,Blight Resistance,1,2,0,0
Stamina Thief,1,Defense Boost,2,1,0,0
Water Attack,1,Counterstrike,2,0,2,0
Protective Polish,1,None,0,1,0,0
Evade Extender,2,Ice Attack,1,0,1,0
Stamina Surge,1,None,0,1,0,0
Handicraft,1,Resentment,1,0,0,0
Defense Boost,1,Dragon Resistance,2,2,0,0
Paralysis Resistance,1,Thunder Attack,1,1,1,0
Free Meal,2,Blast Resistance,2,0,2,0
Recovery Speed,2,Earplugs,1,1,0,0
Paralysis Resistance,1,Fire Attack,1,0,1,0
Speed Eating,2,Speed Sharpening,2,1,0,0
Horn Maestro,1,Item Prolonger,2,1,0,1
Diversion,1,Dragon Attack,1,1,0,0
Blight Resistance,1,Punishing Draw,1,1,1,0
Bubbly Dance,2,Item Prolonger,2,0,1,0
Poison Resistance,1,Windproof,1,0,0,0
Spare Shot,1,Razor Sharp,1,0,0,0
Ice Attack,1,Defense Boost,1,0,0,1
Guard,1,None,0,1,0,0
Affinity Sliding,1,Resentment,1,2,0,0
Item Prolonger,1,Punishing Draw,1,1,1,0
Recovery Up,1,Spare Shot,1,1,1,0
Speed Sharpening,1,Focus,1,1,0,0
Fire Attack,1,Earplugs,1,2,0,0
Wall Runner,2,Dragon Resistance,1,1,1,0
Recoil Down,1,Water Attack,1,0,2,0
Wide-Range,2,Master Mounter,1,0,0,0
Water Attack,2,Wide-Range,1,0,1,0
Paralysis Resistance,1,Poison Attack,1,0,0,1
Water Attack,3,Load Shells,1,0,0,0
Counterstrike,1,Tremor Resistance,2,0,0,0
Leap of Faith,1,Reload Speed,1,1,1,0
Hunger Resistance,2,Guard Up,1,0,0,0
Poison Resistance,1,Fire Resistance,1,2,0,0
Protective Polish,1,None,0,1,0,0
Ice Resistance,1,Earplugs,1,0,0,1
Partbreaker,2,Bubbly Dance,1,0,0,1
Blight Resistance,1,Water Attack,1,0,0,0
Reload Speed,1,Divine Blessing,1,1,0,0
Thunder Attack,1,Water Resistance,1,0,0,0
Ice Attack,1,Fire Attack,2,0,0,0
Leap of Faith,1,Ice Resistance,1,0,0,1
Sleep Attack,2,None,0,0,0,0
Defense Boost,2,Partbreaker,1,0,1,0
Sleep Resistance,2,Master's Touch,1,0,0,0
Stamina Thief,2,Tremor Resistance,1,2,0,0
Botanist,3,Ballistics,1,0,0,0
Tremor Resistance,2,Speed Eating,2,0,1,0
Free Meal,1,Slugger,2,0,0,1
Earplugs,1,Recoil Down,1,1,1,0
Fire Resistance,2,Razor Sharp,1,0,0,0
Sleep Resistance,2,Divine Blessing,2,0,0,0
Evade Extender,2,Flinch Free,1,1,0,0
Evade Extender,1,Item Prolonger,1,0,0,0
Rapid Morph,1,Evade Extender,1,1,1,0
Ice Attack,1,Master Mounter,1,1,1,0
Windproof,1,Carving Pro,1,1,0,0
Resentment,1,None,0,0,0,0
Recoil Down,2,Counterstrike,1,2,0,0
Speed Eating,3,Windproof,2,1,0,0
Leap of Faith,1,Defense Boost,1,2,0,0
